target_img_path,target_unicode,target_tesseract,assoc_img_path,assoc_unicode,assoc_tesseract,html_file
img/558522dee1382382fb4d0c9b_input.pdf_9/Figure Caption3.png,Fig 10.Wa[er rare historyrmarch. \qquad   \qquad   \qquad    {{\bf ~a~vuure}} rare \fbox {{titortinuut}} Fig.  10. Water  rate  history-match. ,Fig 10.Wa[er rare historyrmarch.,img/558522dee1382382fb4d0c9b_input.pdf_9/Figure9.png,p N N o o o o {1} ^2 ^2 {9} {9} {9} {9},"300

0 0 0 0 0
5 0 5 0 5
2 2 1 1

26:230.: 3338 can: .325

100 150 200 250 300 350

50",558522dee1382382fb4d0c9b_input.pdf_9.html
img/558522dee1382382fb4d0c9b_input.pdf_9/Figure Caption5.png,Fig dnve parrem representation. \fbox  \fbox {{tinies}} \fbox {{hhen}} representation. Fig.  11. Line  drive  pattern  representation. ,Fig 1].Line dnve parrem representation.,img/558522dee1382382fb4d0c9b_input.pdf_9/Figure10.png,,,558522dee1382382fb4d0c9b_input.pdf_9.html
img/558522dee1382382fb4d0c9b_input.pdf_9/Figure Caption7.png,Fig 12‘ (3nd oflme drive \sl ~H {\bf ``~u~} {cid} \fbox {{ffiat}} drive Fig.  12.  Grid  block  representation  of line  drive  pattern. ,Fig 12‘ (3nd block representation oflme drive panel'n.,img/558522dee1382382fb4d0c9b_input.pdf_9/Figure11.png,,,558522dee1382382fb4d0c9b_input.pdf_9.html
img/57ede925cf58f16acb2290ac_input.pdf_6/Figure9.png,"ESEM plmmmicrngraplu nfSP before and aﬁer adsorpuon, m berm-e Phl' adsorption, 1(Ktnxz1h'rhefore Pbl' 8000\; m after sz‘ 2 ‘Drption. [000x dm‘m Pb“ adsorption, 8000, {{ssUs}} \fbox {{hauuinnvele}} {{efs}} before and {{dier}} {dsmine.} \fbox 1 berm-e {~~~vi}^i adsorption, \fbox {{loopr.\; bheie}} ~v{{i}} {gopoo} \fbox {{cl}} after {v}^{i} \qquad  {sopion} \fbox {{loor}} \sf {laar} {pi}^{\star } adsorption, {goo_{0}} Fig.  5  ESEM  photomicrographs 1000×;  of SP  before  and 8000×.  after 8000×.  adsorption. 8000×.  (a)  before  Pb2+  adsorption,  1000×; (b) before  Pb2+  adsorption,  adsorption,  8000×;  (c)  after  Pb2+  adsorption,  adsorption,  1000×;  (d) after  Pb2+  adsorption,  8000×. ","Fig. 5 ESEM plmmmicrngraplu nfSP before and aﬁer adsorpuon, m berm-e Phl' adsorption, 1(Ktnxz1h'rhefore Pbl' adsn IImL 8000\; m after
sz‘ 2 ‘Drption. [000x dm‘m Pb“ adsorption, 8000,",,,,57ede925cf58f16acb2290ac_input.pdf_6.html
img/57ede925cf58f16acb2290ac_input.pdf_6/Figure Caption5.png,"comem, \fbox {{orten}} mass  mass  wt.%:  mass  mass content;  at.%:  atomic  content. ","WL'yr“ ma ’comenl; ﬂL'76’ atomic comem,",,,,57ede925cf58f16acb2290ac_input.pdf_6.html
img/57ede925cf58f16acb2290ac_input.pdf_4/Body Text9.png,"Figure shows the relationship between and corre7 sponding pl-l observed in kinetic experiments As is shown, increased as pH increased for all of the systems (S, and SP). This is because paper sludge addition could increase the pH of the SP system and PW"" complex may be formed as a result. Therefore, Pb2+ concentration in a higher pH Solution became lower than the initial one which was presented as increase. After statistical analysis of data in isotherm experi7 ments, a single algorithm relating C0, Ce and pH was Figure shows the relationship between and \fbox {{ore}} {pondine} \tiny ~{d} observed in kinetic experiments As is shown, increased as {pd} increased for all of the systems S{S} and {Sp}. This is because paper sludge addition could increase the {pd} of the \scriptsize ~ system and {p}\bf  complex \qquad {may} be formed as {4} result. Therefore, {p}^{{i}} concentration in {4} higher {\tiny ~Wd} Solution became lower than the initial \fbox  which was presented as increase. After statistical analysis of data in isotherm {{sgen}}. {menis}_ {\bullet } single algorithm relating {c_{0}}, {Ce} and {pd} was Figure  2  shows  the  relationship  between  Q  and  corre-  sponding  pH  observed  in  kinetic  experiments.  As  is  shown,  Q  increased  as  pH  increased  for  all  of  the  systems  (S,  P  and  SP).  This  is  because  paper  sludge  addition  could  increase  the  pH  of  the  SP  system  and  Pb2+  complex  may  be  formed  as  a  result.  Therefore,  Pb2+  concentration  in  a  higher  pH  solution  became  lower  than  the  initial  one  which  was  presented  as  Q  increase.  After  statistical  analysis  of  data  in  isotherm  experi-  ments,  a  single  algorithm  relating  C0,  Ce  and  pH  was ","Figure 2 shows the relationship between Q and corre7
sponding pl-l observed in kinetic experiments As is shown,
Q increased as pH increased for all of the systems (S,
P and SP). This is because paper sludge addition could
increase the pH of the SP system and PW"" complex may
be formed as a result. Therefore, Pb2+ concentration in a
higher pH Solution became lower than the initial one which
was presented as Q increase.

After statistical analysis of data in isotherm experi7
ments, a single algorithm relating C0, Ce and pH was",img/57ede925cf58f16acb2290ac_input.pdf_4/Figure12.png,U Trend Trend Trend line {\boldmath ~{\bf o}} Trend Trend Trend line,"Q (mg/g)

100

 

 

    
 
  

 

0 SP

U S

A P

Trend line (P)

Trend line (5)
— — — Trend line (SP)

 

 

 

5.5

pH

6.5 7.5

8.5",57ede925cf58f16acb2290ac_input.pdf_4.html
img/57ede925cf58f16acb2290ac_input.pdf_4/Figure Caption10.png,Fig. {\sf h}_\bf  Fig.  2  Relationship  between  Q  and  pH. ,Fig. 2 Relalionshxp belween Q and pH.,img/57ede925cf58f16acb2290ac_input.pdf_4/Figure12.png,U Trend Trend Trend line {\boldmath ~{\bf o}} Trend Trend Trend line,"Q (mg/g)

100

 

 

    
 
  

 

0 SP

U S

A P

Trend line (P)

Trend line (5)
— — — Trend line (SP)

 

 

 

5.5

pH

6.5 7.5

8.5",57ede925cf58f16acb2290ac_input.pdf_4.html
img/558522dee1382382fb4d0c9b_input.pdf_3/Body Text0.png,"between C02 storage capacity and total organic carbon (TOC), where— as no correlation with the clay mineral content was observed. In addi- tion. drill cuttings from the Kentucky Geological Survey (KGS) Well Sample and Core Library were sampled to develop C02 adsorption isotherms, They found ratios of adsorbed (0; relative to methane on the order ofS to 1. Recent work by Chareonsuppanimit et all (2012) reports new primary data and gives a thorough review of previously published isotherm data for methane, C02, and N; on shales. In this work, new adsorption isotherms of methane. C02. and N2 were measured on a New Albany shale sample from the Illinois basin. At about 7 MPa pressure, ratios of adsorbed C02 relative to methane in “as-received samples"" were found to be on the order of3 to I. For this report. theoretical maximum C02 storage capacity is esti- mated using the C02 isotherms for the Marcellus obtained from wells in New York (Advanced Resources International, 201 la). as shown in Fig. 2. Fig. 3 shows the study area outline and the locations of I49 dig- ital study wells used for this analysis. The well data set was com- piled from public log data obtained through the New York. Pennsylvania, West Virginia, and Ohio geological surveys. Digital log data (LAS) ﬁles were not available from public data sources for many wells. so the raster logs available for these wells were digitized. All study wells contain at least a gamma ray log through the Marcellus from which TOC can be extrapolated and adsorbed gas ineplace estimated. Sixtyeseven study wells have a complete log suite consisting of gamma-ray, density, and resistivity through the Marcellus, This subset of wells was used for calculating free methane gas in»place and estimating maximum COZ storage capaci- ty as noneadsorbed (‘free‘) C02. Fig. 4 is a type log of the Marcellus from north central Pennsylva— nia showing the gammaeray. resistivity. photoelectric (PE) log, bulk density, and density and neutron porosity logs The bulk density curve is shaded in light blue where it indicates bulk density less than 25 g/cc. The Marcellus was subdivided into four layers for the purpose of reservoir simulation: the Lower Marcellus (Union Springs). the Purcell/Cherry Valley and the Upper Marcellus (Oatka Creek). In New York, the Oatka Creek may be further divided into the Oatka Creek “black shale"" at the base and the Oatka Creek ""gray shale"". For the reservoir simulation. the upper Marcellus above the Purcell/Cherry Valley is treated as a single model layer. The fourth model layer for reservoir simulation consists of up to 30.5 m of Devonian Shale above the upper Marcellus layer. Depending upon location within the study area, this overlying shale layer variously includes the Skaneateles Shale and Stafford Limestone (NY). Mahantango Shale (PA). or Rhinestreet Shale and Levanna (WV, southern PA. Ol-I). between \fbox _ storage capacity and total organic carbon ({ToC})). {wher.} as {{0o}} correlation with the clay mineral content was observed. In {ddd}. {iom.} drill cuttings from the Kentucky Geological Survey \fbox {{(kSS)}} Well Sample and Core Library were sampled to develop \qquad {c}_ adsorption isotherms, They found ratios of adsorbed \fbox {{c}0{z}} relative to methane on the order {ql} to . Recent work by {histonnvniiii} \fbox {{et}} all \fbox {2,20;2)} reports \fbox {e{eev}} primary data and gives ^ thorough review of previously published isotherm data for methane, {c{c}}{0}. and {c}{N_{\sharp }}\\ N_ on shales. In this work, \fbox {e}eev adsorption isotherms of methane. \fbox {_{0}} and \begin{array} {c}N_\\  were measured on ^{4} {vev} Albany shale sample from the Illinois basin. At about \stackrel {7}{7} {Mr_{4}} pressure, ratios of adsorbed \fbox {{coz}} relative to methane in {dsrreetled} samples"" were found to be on the order to . For this report. theoretical maximum \fbox {005} storage capacity is {eii.} mated using the \fbox {{c}0}_{2} isotherms for the {udrclus} obtained from wells in {{vev}} York (Advanced Resources International, \fbox {0}0 \fbox {14)}_{1}. as shown in \begin{array} {r} . \begin{array} {c}r ^{3} shows the study area outline and the locations of \qquad  \qquad   {dig}. ital study wells used for this analysis. The well data set was \fbox {{on.}} piled from public \begin{array} {lcl}{\operatorname  {log}}\\  {\operatorname  {log}}\\  \end{array}  data obtained through the {\footnotesize v} York. Pennsylvania, West Virginia, and Ohio geological surveys. Digital \begin{array} {lcl}{\operatorname {log}}\\  data {(lsS)} {lhes} were {ot} available from public data sources for many wells. so the raster logs available for these wells were digitized. All study wells contain at least ^{4} gamma \fbox {4} \begin{array} {lcl}{\operatorname {log}}\\  {{log}}\\  \end{array}  through the {udrclus} from which {1oC} can be extrapolated and adsorbed {s} \fbox {{iir.p4ee}} estimated. {{siny.seven}} study wells have ^{4} complete \begin{array} {lcl}{\operatorname {log}}\\  suite consisting of \fbox {ssinmsisj.} density, and resistivity through the {udrclus} This subset of wells was used for calculating free methane {ss} {irpir.pt} and estimating maximum \fbox {0{coz}} storage {sspsi.} \qquad  as {onsddoleed} ({(ie\epsilon )} \fbox {c}_{{.}} \begin{array} {c}r 4 is ^{4} type \begin{array} {lcl}\operatorname {log} of the \sf u{relus} from north central {emnmlva}. {id} showing the \fbox {{ssinmsisy.}} resistivity. photoelectric \begin{array} {c}{[{)}\\   \\   }\\   \end{array}  \begin{array} {lel}\operatorname {log} bulk density, and density and neutron porosity logs The bulk density curve is shaded in light blue where it indicates bulk density less than ^{2S} {grc.} The {hdrclus} was subdivided into four layers for the purpose of reservoir simulation: the Lower {udrclus} (Union Springs). the {uurellflery} Valley and the Upper {udrellus} {({({(44t}}} Creek). In {eev} York, the {~{~a}} Creek \fbox {{ndy}} be further divided into the {4al} Creek {\left. lstk} shale"" at the base and the {44lt} Creek ""gray shale"". For the reservoir simulation. the upper {udrcelus} above the {uuretlfhery} Valley is treated as ^{4} single model layer. The fourth model layer for reservoir simulation consists of up to {205} {m} of Devonian Shale above the upper {\sf drelus} layer. Depending upon location within the study area, this overlying shale layer variously includes the {{kheattes}} Shale and Stafford Limestone \fbox {{Nv.}} {4`hsnan} Shale \begin{array} {c}{(p{ph}.}\\ (p_{8}) or \fbox {{hhnefieet}} Shale and \fbox \operatorname {teva} ^({{{wW}}.} southern \fbox {\Lambda  _{\Lambda  }} {0ll}. between  CO2  storage  capacity  and  total  organic  carbon  (TOC),  where-  as  no  correlation  with  the  clay  mineral  content  was  observed.  In  addi-  tion,  drill  cuttings  from  the  Kentucky  Geological  Survey  (KGS)  Well  Sample  and  Core  Library  were  sampled  to  develop  CO2  adsorption  isotherms.  They  found  ratios  of  adsorbed  CO2  relative  to  methane  on  the  order  of 5  to  1.  Recent  work  by  Chareonsuppanimit  et  al.  (2012)  reports  new  primary  data  and  gives  a  thorough  review  of  previously  published  isotherm  data  for  methane,  CO2,  and  N2  on  shales.  In  this  work,  new  adsorption  isotherms  of  methane,  CO2,  and  N2  were  measured  on  a  New  Albany  shale  sample  from  the  Illinois  basin.  At  about  7  MPa  pressure,  ratios  of  adsorbed  CO2  relative  to  methane  in  “as-received  samples”  were  found  to  be  on  the  order  of 3  to  1.  For  this  report,  theoretical  maximum  CO2  storage  capacity  is  esti-  mated  using  the  CO2  isotherms  for  the  Marcellus  obtained  from  wells  in  New  York  (Advanced  Resources  International,  2011a),  2011a),  as  shown  in  Fig.  2.  Fig.  3  shows  the  study  area  outline  and  the  locations  of  149  dig-  ital  study  wells  used  for  this  analysis.  The  well  data  set  was  com-  piled  from  public  log  data  obtained  through  the  New  York,  Pennsylvania,  West  Virginia,  and  Ohio  geological  surveys.  Digital  log  data  (LAS)  ﬁles  were  not  available  from  public  data  sources  for  many  wells,  so  the  raster  logs  available  for  these  wells  were  digitized.  All  study  wells  contain  at  least  a  gamma  ray  log  through  the  Marcellus  from  which  TOC  can  be  extrapolated  and  adsorbed  gas  in-place  estimated.  Sixty-seven  study  wells  have  a  complete  log  suite  consisting  of  gamma-ray,  density,  and  resistivity  through  the  Marcellus.  This  subset  of  wells  was  used  for  calculating  free  methane  gas  in-place  and  estimating  maximum  CO2  storage  capaci-  ty  as  non-adsorbed  (‘free’)  CO2.  Fig.  4  is  a  type  log  of  the  Marcellus  from  north  central  Pennsylva-  nia  showing  the  gamma-ray,  resistivity,  photoelectric  (PE)  log,  bulk  density,  and  density  and  neutron  porosity  logs.  The  bulk  density  curve  is  shaded  in  light  blue  where  it  indicates  bulk  density  less  than  2.5  g/cc.  The  Marcellus  was  subdivided  into  four  layers  for  the  purpose  of  reservoir  simulation:  the  Lower  Marcellus  (Union  Springs),  the  Purcell/Cherry  Valley  and  the  Upper  Marcellus  (Oatka  Creek).  In  New  York,  the  Oatka  Creek  may  be  further  divided  into  the  Oatka  Creek  “black  shale”  at  the  base  and  the  Oatka  Creek  “gray  shale”.  For  the  reservoir  simulation,  the  upper  Marcellus  above  the  Purcell/Cherry  Valley  is  treated  as  a  single  model  layer.  The  fourth  model  layer  for  reservoir  simulation  consists  of  up  to  30.5  m  of  Devonian  Shale  above  the  upper  Marcellus  layer.  Depending  upon  location  within  the  study  area,  this  overlying  shale  layer  variously  includes  the  Skaneateles  Shale  and  Stafford  Limestone  (NY),  Mahantango  Shale  (PA),  or  Rhinestreet  Shale  and  Levanna  (WV,  southern  PA,  OH). ","between C02 storage capacity and total organic carbon (TOC), where—
as no correlation with the clay mineral content was observed. In addi-
tion. drill cuttings from the Kentucky Geological Survey (KGS) Well
Sample and Core Library were sampled to develop C02 adsorption
isotherms, They found ratios of adsorbed (0; relative to methane
on the order ofS to 1.

Recent work by Chareonsuppanimit et all (2012) reports new
primary data and gives a thorough review of previously published
isotherm data for methane, C02, and N; on shales. In this work, new
adsorption isotherms of methane. C02. and N2 were measured on a
New Albany shale sample from the Illinois basin. At about 7 MPa
pressure, ratios of adsorbed C02 relative to methane in “as-received
samples"" were found to be on the order of3 to I.

For this report. theoretical maximum C02 storage capacity is esti-
mated using the C02 isotherms for the Marcellus obtained from wells
in New York (Advanced Resources International, 201 la). as shown in
Fig. 2.

Fig. 3 shows the study area outline and the locations of I49 dig-
ital study wells used for this analysis. The well data set was com-
piled from public log data obtained through the New York.
Pennsylvania, West Virginia, and Ohio geological surveys. Digital
log data (LAS) ﬁles were not available from public data sources for
many wells. so the raster logs available for these wells were
digitized. All study wells contain at least a gamma ray log through
the Marcellus from which TOC can be extrapolated and adsorbed
gas ineplace estimated. Sixtyeseven study wells have a complete
log suite consisting of gamma-ray, density, and resistivity through
the Marcellus, This subset of wells was used for calculating free
methane gas in»place and estimating maximum COZ storage capaci-
ty as noneadsorbed (‘free‘) C02.

Fig. 4 is a type log of the Marcellus from north central Pennsylva—
nia showing the gammaeray. resistivity. photoelectric (PE) log, bulk
density, and density and neutron porosity logs The bulk density
curve is shaded in light blue where it indicates bulk density less
than 25 g/cc. The Marcellus was subdivided into four layers for
the purpose of reservoir simulation: the Lower Marcellus (Union
Springs). the Purcell/Cherry Valley and the Upper Marcellus (Oatka
Creek). In New York, the Oatka Creek may be further divided into
the Oatka Creek “black shale"" at the base and the Oatka Creek
""gray shale"". For the reservoir simulation. the upper Marcellus
above the Purcell/Cherry Valley is treated as a single model layer.
The fourth model layer for reservoir simulation consists of up to
30.5 m of Devonian Shale above the upper Marcellus layer.
Depending upon location within the study area, this overlying
shale layer variously includes the Skaneateles Shale and Stafford
Limestone (NY). Mahantango Shale (PA). or Rhinestreet Shale and
Levanna (WV, southern PA. Ol-I).",img/558522dee1382382fb4d0c9b_input.pdf_3/Figure16.png,N 8 — ^2 {e} \qquad    \qquad    \qquad    \qquad    ,"N

8

Gas Content (m3! tonne)

_/'

Marcellus Shale Advatlon Ilelhenm
Appalachian Basln
(average or dare)

._.———""""—_ —Melhane

— coz

1 0 20 30 40",558522dee1382382fb4d0c9b_input.pdf_3.html
img/558522dee1382382fb4d0c9b_input.pdf_3/Figure Caption1.png,Fig. Methane adsorption isotherms. {{e}}\\  Methane adsorption isotherms. Fig.  2.  Marcellus  Methane  and  CO2  adsorption  isotherms. ,"Fig. 2. Marcellus Methane and co, adsorption isotherms.",img/558522dee1382382fb4d0c9b_input.pdf_3/Figure16.png,N 8 — ^2 {e} \qquad    \qquad    \qquad    \qquad    ,"N

8

Gas Content (m3! tonne)

_/'

Marcellus Shale Advatlon Ilelhenm
Appalachian Basln
(average or dare)

._.———""""—_ —Melhane

— coz

1 0 20 30 40",558522dee1382382fb4d0c9b_input.pdf_3.html
img/558522dee1382382fb4d0c9b_input.pdf_3/Body Text8.png,"Total organic carbon measurements were available from the New York State Museum for Marcellus whole core from two wells in Chenango County and for drilling cutting from various wells through- out the states The relationship between these TOC data and bulk density or gamma ray response was used for this analysis to extrapoe late TOC for the study wells from either the density or gamma ray log. Fig. 5 shows the correlation between bulk density and TOC for New York Marcellus samples For comparison, TOC was also extrapolated from bulk density using the method developed by Schmoker (1979, 1993) for Devonian shale of the western Appalachian Basin: Total organic carbon measurements were available from the \fbox {{eev}} York State Museum for {udrclus} whole core from {v}^ wells in {Ihenge} County and for drilling cutting from various wells through- out the states The relationship between these {1oC} data and bulk density or gamma \fbox {4y} response was used for this analysis to \fbox {{sutuap}}. late {1oc} for the study wells from either the density or gamma \fbox {4} \begin{array} {lel}{\operatorname {log}}\\  {{log}}\\  \end{array}  \begin{array} {c}{ig}_\\  \\   {5}_{5} shows the correlation between bulk density and {1oC} for \fbox {{eev}} York {udrelus} samples For comparison, {1oC} was also extrapolated from bulk density using the method developed by {Stnober} \begin{array} {c}(1977 \begin{array} {c}) for Devonian shale of the western Appalachian Basin: Total  organic  carbon  measurements  were  available  from  the  New  York  State  Museum  for  Marcellus  whole  core  from  two  wells  in  Chenango  County  and  for  drilling  cutting  from  various  wells  through-  out  the  state.  The  relationship  between  these  TOC  data  and  bulk  density  or  gamma  ray  response  was  used  for  this  analysis  to  extrapo-  late  TOC  for  the  study  wells  from  either  the  density  or  gamma  ray  log.  Fig.  5  shows  the  correlation  between  bulk  density  and  TOC  for  New  York  Marcellus  samples.  For  comparison,  TOC  was  also  extrapolated  from  bulk  density  using  the  method  developed  by  Schmoker  (1979,  1993)  for  Devonian  shale    of   the  western   Appalachian   Basin: ","Total organic carbon measurements were available from the New
York State Museum for Marcellus whole core from two wells in
Chenango County and for drilling cutting from various wells through-
out the states The relationship between these TOC data and bulk
density or gamma ray response was used for this analysis to extrapoe
late TOC for the study wells from either the density or gamma ray log.
Fig. 5 shows the correlation between bulk density and TOC for New
York Marcellus samples For comparison, TOC was also extrapolated
from bulk density using the method developed by Schmoker (1979,
1993) for Devonian shale of the western Appalachian Basin:",img/558522dee1382382fb4d0c9b_input.pdf_3/Figure16.png,N 8 — ^2 {e} \qquad    \qquad    \qquad    \qquad    ,"N

8

Gas Content (m3! tonne)

_/'

Marcellus Shale Advatlon Ilelhenm
Appalachian Basln
(average or dare)

._.———""""—_ —Melhane

— coz

1 0 20 30 40",558522dee1382382fb4d0c9b_input.pdf_3.html
